BPM,SpO2,GSR,Temp,Nível de Estresse
101,91,47.29,36.23,51
64,90,38.82,37.95,62
110,93,40.63,38.48,98
70,97,13.66,37.33,81
73,92,30.56,37.71,74
52,90,19.26,36.59,61
71,93,17.25,37.09,81
102,98,42.41,38.14,74
51,90,15.4,36.42,63
79,91,28.75,36.66,68
87,98,47.54,37.11,38
51,91,17.43,37.78,79
113,92,49.12,36.94,66
109,96,49.77,38.32,75
70,92,32.22,36.24,47
82,98,16.81,36.93,78
107,95,22.64,37.77,100
71,92,26.98,36.56,60
98,98,22.37,37.64,93
108,90,21.23,36.41,100
91,99,48.89,36.14,23
109,92,16.13,36.3,100
64,90,39.33,38.32,67
111,91,10.02,37.38,100
111,97,33.85,37.99,93
96,96,46.64,36.83,47
111,91,21.52,37.48,100
100,91,17.42,37.24,100
104,98,36.07,38.36,88
113,95,38.5,37.87,90
52,94,37.52,37.83,44
100,99,22.77,36.12,69
56,95,20.09,37.37,65
70,98,48.24,37.17,25
88,96,46.93,38.32,62
67,99,28.29,36.64,42
53,99,43.85,36.67,8
109,98,28.09,37.03,84
63,93,26.98,36.61,53
58,91,16.27,36.32,64
102,97,27.06,38.14,99
51,93,31.5,37.4,48
109,98,10.9,38.15,100
93,93,27.76,38.08,97
57,97,41.25,36.71,20
96,98,37.2,37.37,65
84,98,35.41,36.21,41
85,99,46.38,38.29,54
99,93,10.72,37.01,100
53,90,32.28,36.98,48
51,92,41.49,36.76,25
55,98,31.65,37.15,37
103,93,22.96,36.63,91
53,94,15.45,36.94,65
103,96,45.5,38.0,72
112,94,28.83,38.09,100
67,93,45.12,36.76,31
93,91,33.43,37.17,79
83,91,36.97,38.18,81
111,93,42.17,36.13,61
63,99,36.37,38.22,51
97,99,25.92,36.55,68
64,98,30.55,37.7,54
111,97,42.12,37.46,73
89,92,24.95,37.38,90
102,98,25.52,38.15,99
73,94,13.83,36.25,73
75,92,46.58,36.87,39
109,94,13.64,37.35,100
90,99,35.93,38.03,70
78,93,26.53,36.54,64
64,97,26.22,38.01,67
94,94,37.18,37.0,66
114,99,12.68,36.47,100
58,97,33.75,37.9,50
50,98,40.88,36.23,6
57,93,43.13,37.29,34
112,96,16.82,36.16,94
60,91,45.9,36.89,30
57,95,36.25,37.5,43
84,97,45.27,37.39,46
84,96,29.41,37.01,66
82,96,31.68,37.07,62
54,97,46.76,36.57,7
90,96,46.0,37.14,48
77,94,27.93,38.38,87
56,96,20.98,38.13,73
61,99,25.73,36.36,37
83,92,25.51,36.07,65
82,94,21.47,38.33,100
97,96,20.74,37.32,94
72,98,44.44,37.34,35
111,91,12.79,37.95,100
86,93,37.1,36.79,58
93,96,16.91,37.2,95
84,90,23.78,38.42,100
114,91,12.46,37.68,100
96,98,20.8,36.38,75
52,99,40.74,36.33,7
50,96,45.4,36.51,7
54,99,18.86,37.92,65
63,96,28.54,36.74,46
76,95,28.81,36.05,48
58,92,44.94,38.36,50
64,99,40.51,36.42,18
91,92,30.52,36.02,63
100,91,36.83,36.59,71
112,95,43.89,36.59,62
101,93,10.38,37.06,100
53,94,26.12,38.3,69
72,92,46.29,38.2,57
64,95,39.61,37.14,38
92,92,31.71,37.03,77
78,97,31.19,37.39,62
85,98,23.91,36.61,65
62,93,30.82,36.13,39
81,98,36.22,38.35,69
108,96,26.73,36.47,81
77,92,38.57,36.5,47
115,96,44.45,37.18,71
91,90,16.19,37.23,100
94,92,28.06,36.05,69
111,95,26.32,36.37,84
106,93,37.5,36.95,76
55,96,19.99,37.71,67
77,92,35.61,36.57,52
77,90,45.1,37.06,49
93,98,26.73,37.39,79
79,95,46.44,38.22,56
111,97,49.73,36.82,52
111,92,14.24,36.33,100
50,97,19.32,37.22,55
76,91,48.02,37.87,54
111,93,48.33,36.27,54
52,92,13.91,37.06,72
119,99,10.6,36.04,100
76,90,16.44,36.08,77
58,96,49.84,37.21,17
111,99,17.2,36.75,96
86,91,30.1,38.11,93
100,93,43.94,37.51,70
93,98,10.82,37.13,99
73,95,34.18,37.02,52
108,97,21.08,37.24,99
81,91,44.49,36.1,37
101,96,21.34,38.23,100
111,95,37.47,38.5,100
107,98,36.97,36.45,60
101,96,18.86,36.3,85
61,90,11.39,36.36,77
88,97,26.37,37.65,81
51,99,21.57,37.65,55
52,92,42.36,38.12,45
105,91,42.01,37.88,87
108,92,28.28,37.12,96
51,95,34.26,37.53,42
51,92,34.17,37.72,51
103,99,43.09,37.28,58
50,94,27.0,37.19,49
68,95,21.02,37.61,77
51,97,20.6,37.39,56
102,96,31.45,37.61,86
93,97,27.97,37.53,81
81,92,27.6,37.8,86
119,93,13.65,37.61,100
81,95,38.74,37.3,56
117,96,18.55,37.7,100
104,98,17.88,37.12,97
105,90,26.51,36.6,93
66,97,19.11,36.0,50
87,97,33.35,37.4,66
73,95,24.86,37.48,73
118,93,27.96,38.43,100
119,92,31.49,36.9,97
60,92,18.14,36.99,71
65,95,16.23,36.5,65
108,97,45.22,36.18,47
119,96,27.35,37.93,100
52,90,26.48,36.62,51
69,95,11.42,37.52,90
108,96,29.92,37.72,95
85,96,32.17,37.18,65
68,98,32.35,38.19,62
116,99,38.28,37.11,74
68,94,17.1,36.71,71
69,90,20.09,38.24,98
101,91,42.43,38.15,87
82,93,47.89,36.41,33
89,94,15.44,36.06,81
88,98,29.91,36.22,52
50,90,18.57,36.72,62
60,92,12.4,38.43,100
106,94,23.02,37.4,100
99,92,15.75,36.93,100
72,93,38.4,38.22,67
80,92,31.35,37.13,69
91,93,15.75,36.79,94
56,90,10.37,38.35,100
65,97,42.33,38.12,46
109,93,17.05,38.11,100
51,96,34.25,37.28,36
50,91,23.48,37.97,72
97,91,33.42,36.45,72
61,95,22.63,37.43,66
118,91,13.48,38.46,100
86,95,18.92,36.73,81
81,91,17.52,37.99,100
58,93,27.12,37.23,58
68,96,36.33,36.1,29
97,97,20.55,37.91,100
52,92,10.48,36.42,68
69,98,30.76,37.58,56
73,91,34.23,36.21,48
103,97,48.51,38.37,71
82,97,33.58,36.73,52
73,93,28.85,36.57,57
85,90,32.94,36.32,63
87,90,47.12,38.37,74
74,91,43.14,37.78,59
67,98,22.92,37.85,71
115,91,19.49,37.25,100
103,91,20.51,37.19,100
84,95,30.18,36.28,56
110,96,39.76,37.4,77
90,96,30.13,36.62,64
82,98,12.71,38.44,100
117,95,38.94,37.99,95
82,97,42.24,37.03,43
63,95,21.58,36.38,53
70,91,36.57,37.96,68
97,90,27.06,36.31,81
69,94,45.56,36.47,25
57,98,43.81,36.53,11
56,97,31.02,37.39,45
116,93,37.66,37.97,99
66,94,45.33,36.79,28
82,94,29.83,36.21,56
97,95,22.53,37.16,91
108,92,40.15,37.87,90
71,94,18.8,36.55,68
79,91,25.54,36.55,71
87,99,44.63,38.37,60
100,90,38.98,38.39,97
103,90,26.15,38.48,100
57,99,18.59,38.02,70
76,96,24.24,36.47,59
76,91,21.36,36.53,74
70,93,17.04,36.85,77
79,94,39.73,36.8,47
77,96,20.08,38.39,95
113,91,28.17,37.97,100
118,95,25.43,37.81,100
110,90,49.28,36.46,61
97,96,25.64,38.27,100
68,98,13.2,38.07,89
53,94,13.59,36.41,60
84,94,33.63,38.18,81
113,93,33.97,36.68,83
98,92,26.75,36.2,77
66,98,27.27,37.64,60
93,94,12.16,37.63,100
79,97,30.66,36.24,46
95,98,30.19,36.8,66
55,94,15.98,38.48,89
86,99,14.15,37.7,95
73,98,14.94,37.83,87
95,91,14.04,36.53,100
102,98,34.39,36.2,56
109,93,17.86,36.69,100
112,95,20.06,36.62,98
81,95,16.94,36.59,78
82,95,48.31,36.48,30
116,91,44.18,37.44,86
67,96,19.22,36.82,65
74,95,23.1,38.05,85
103,90,18.4,36.46,100
107,91,29.68,37.16,96
116,96,10.78,36.03,100
95,90,36.85,37.2,78
73,90,30.93,36.14,54
81,90,45.95,38.44,72
96,97,16.58,37.98,100
72,93,42.16,37.23,46
115,93,41.68,36.22,66
76,91,15.09,37.48,98
51,90,25.94,37.9,70
66,99,16.81,36.48,56
82,98,20.19,37.42,80
